"Year";"Sex";"Age";"County";"PopJan1";"PopMidYear"
1990;"Férfi";75;"Bács-Kiskun megye";6424;6143,5
1990;"Férfi";75;"Békés megye";6159;5858,5
1990;"Férfi";75;"Csongrád megye";5967;5703
1990;"Férfi";80;"Budapest";12450;12793
1990;"Férfi";80;"Pest megye";4625;4741
1990;"Férfi";80;"Fejér megye";1766;1781,5
1990;"Férfi";80;"Komárom-Esztergom megye";1310;1315
1990;"Férfi";80;"Veszprém megye";1916;1936,5
1990;"Férfi";80;"Gyõr-Moson-Sopron megye";2274;2303
1990;"Férfi";80;"Vas megye";1615;1634,5
1990;"Férfi";80;"Zala megye";1812;1816
1990;"Férfi";80;"Baranya megye";1960;1995,5
1990;"Férfi";80;"Somogy megye";2000;1996
1990;"Férfi";80;"Tolna megye";1368;1370
1990;"Férfi";80;"Borsod-Abaúj-Zemplén megye";3476;3519,5
1990;"Férfi";80;"Heves megye";1920;1946,5
1990;"Férfi";80;"Nógrád megye";1249;1256
1990;"Férfi";80;"Hajdú-Bihar megye";3009;3067
1990;"Férfi";80;"Szabolcs-Szatmár-Bereg megye";2540;2556,5
1990;"Férfi";80;"Jász-Nagykun-Szolnok megye";2760;2825
1990;"Férfi";80;"Bács-Kiskun megye";3333;3341,5
1990;"Férfi";80;"Békés megye";3124;3179
1990;"Férfi";80;"Csongrád megye";3178;3230
1990;"Férfi";85;"Budapest";5785;5869,5
1990;"Férfi";85;"Pest megye";1835;1858
1990;"Férfi";85;"Fejér megye";730;726,5
1990;"Férfi";85;"Komárom-Esztergom megye";507;506
1990;"Férfi";85;"Veszprém megye";816;827,5
1990;"Férfi";85;"Gyõr-Moson-Sopron megye";914;926
1990;"Férfi";85;"Vas megye";718;708,5
1990;"Férfi";85;"Zala megye";699;696,5
1990;"Férfi";85;"Baranya megye";831;821
1990;"Férfi";85;"Somogy megye";774;771
1990;"Férfi";85;"Tolna megye";575;575
1990;"Férfi";85;"Borsod-Abaúj-Zemplén megye";1426;1453,5
1990;"Férfi";85;"Heves megye";859;835,5
1990;"Férfi";85;"Nógrád megye";495;494,5
1990;"Férfi";85;"Hajdú-Bihar megye";1322;1320,5
1990;"Férfi";85;"Szabolcs-Szatmár-Bereg megye";1158;1156,5
1990;"Férfi";85;"Jász-Nagykun-Szolnok megye";1179;1165,5
1990;"Férfi";85;"Bács-Kiskun megye";1479;1487
1990;"Férfi";85;"Békés megye";1494;1501,5
1990;"Férfi";85;"Csongrád megye";1412;1411,5
1990;"Nõ";0;"Budapest";46881;47154,5
1990;"Nõ";0;"Pest megye";28080;28011
